aX,aY,aZ,gX,gY,gZ
0.717,-2.414,-0.071,-13.245,0.244,35.706
0.864,-2.903,-0.140,-22.095,-5.432,56.763
1.022,-3.312,-0.250,-34.851,-28.809,134.399
0.928,-2.985,-0.494,-69.946,-42.725,184.509
0.771,-2.601,-0.544,-70.068,-65.735,225.342
0.458,-1.844,-0.262,-28.137,-114.380,260.681
0.369,-1.790,-0.062,4.822,-130.554,259.338
0.333,-1.941,0.216,76.599,-144.226,250.061
0.260,-1.831,0.249,113.098,-141.785,268.982
0.332,-1.615,0.247,187.195,-141.418,296.997
0.010,-0.991,0.402,211.304,-143.433,301.147
-0.095,-0.628,0.564,228.333,-141.113,301.331
-0.121,-0.441,0.595,250.305,-123.230,271.912
-0.070,-0.396,0.472,252.441,-121.704,249.695
0.031,-0.054,0.580,206.299,-123.901,218.140
0.100,0.142,0.640,179.321,-114.563,208.130
0.144,0.235,0.591,157.349,-103.088,195.068
0.293,0.283,0.451,105.347,-93.933,172.607
0.297,0.339,0.414,70.007,-93.994,173.157
0.273,0.353,0.448,3.845,-98.083,182.068
0.226,0.395,0.594,-10.437,-95.032,189.026
0.175,0.496,0.709,-10.437,-84.045,192.017
0.288,0.696,0.733,19.226,-44.800,171.204
0.368,0.725,0.592,39.124,-31.250,145.874
0.418,0.679,0.428,52.307,-31.006,88.867
0.520,0.556,0.267,46.204,-28.564,75.439
0.491,0.527,0.335,22.888,-26.245,82.825
0.384,0.435,0.552,-17.761,-59.692,93.262
0.304,0.429,0.760,-22.339,-71.411,98.633
0.282,0.468,0.934,3.235,-47.668,104.004
0.348,0.669,1.070,26.123,-22.461,99.915
0.403,0.746,0.985,48.950,-2.319,86.365
0.461,0.751,0.719,61.646,16.663,48.218
0.478,0.738,0.617,45.105,15.686,29.297
0.523,0.711,0.539,20.386,12.878,12.939
0.623,0.510,0.424,-26.978,5.493,-7.996
0.662,0.357,0.382,-44.006,1.465,-11.292
0.749,0.219,0.334,-55.115,1.282,-5.432
0.752,0.094,0.335,-57.861,-37.598,7.263
0.763,0.124,0.387,-52.124,-27.405,9.644
0.823,0.105,0.413,-43.884,-2.441,11.414
0.903,0.121,0.383,-26.245,34.424,12.695
0.914,0.147,0.372,-18.005,41.443,8.911
0.943,0.171,0.360,-7.812,34.607,0.000
0.924,0.186,0.368,-6.409,27.161,-0.549
0.894,0.201,0.387,-5.127,17.822,-1.709
0.863,0.214,0.377,-0.610,1.404,-7.568
0.873,0.172,0.358,0.122,-1.587,-12.512
0.931,0.065,0.335,-1.221,-4.761,-16.541
0.943,0.016,0.340,-0.854,-7.141,-16.296
0.928,0.030,0.444,2.625,-6.042,-7.874
0.921,0.081,0.494,5.859,-0.793,-3.540
0.870,0.172,0.506,14.038,16.602,-0.244
0.875,0.205,0.487,15.198,24.292,-0.488
0.880,0.230,0.447,14.221,28.748,-5.005
0.917,0.182,0.334,3.906,26.672,-7.996
0.932,0.133,0.277,-3.540,19.470,-7.935
0.933,0.089,0.245,-11.536,9.644,-5.249
0.953,0.029,0.278,-22.522,-7.446,1.282
0.963,0.016,0.330,-21.362,-12.146,4.272
0.960,0.029,0.388,-15.625,-11.963,9.644
0.935,0.117,0.459,-0.549,-6.409,11.414
0.907,0.165,0.461,7.202,-0.610,12.268
0.882,0.212,0.402,14.587,7.812,10.376
0.879,0.213,0.371,13.306,8.057,8.301
0.874,0.216,0.352,10.315,6.104,6.653
0.873,0.219,0.344,6.409,3.662,5.432
0.875,0.210,0.334,2.808,1.221,3.418
0.865,0.179,0.347,-0.549,-3.906,1.709
0.855,0.161,0.356,-1.038,-4.333,1.953
0.862,0.147,0.373,-0.305,-4.211,3.052
0.865,0.171,0.378,4.395,-2.625,2.808
0.866,0.174,0.364,7.324,-1.770,1.038
0.889,0.169,0.338,7.446,-2.380,-1.282
0.896,0.161,0.343,5.554,-4.028,-1.526
0.893,0.148,0.347,4.211,-5.737,-1.465
0.891,0.134,0.377,3.174,-7.751,0.061
0.877,0.151,0.400,3.906,-7.568,1.343
0.871,0.170,0.415,5.249,-6.470,1.770
0.876,0.184,0.432,7.263,-3.479,0.488
0.878,0.192,0.425,6.409,-1.953,0.122
0.883,0.183,0.414,3.723,-1.221,-0.854
0.904,0.164,0.383,1.465,-2.319,-1.221
0.918,0.146,0.374,-0.488,-3.540,-1.892
0.932,0.098,0.371,-2.808,-5.249,-1.282
0.933,0.095,0.392,-2.563,-5.737,0.427
0.925,0.113,0.410,-1.343,-5.005,1.892
0.896,0.127,0.418,3.662,-0.366,3.967
0.902,0.130,0.420,5.432,2.075,5.066
0.898,0.144,0.427,6.653,4.211,7.141
0.898,0.173,0.391,8.728,7.690,6.714
0.896,0.170,0.372,8.606,7.629,5.737
0.889,0.175,0.355,6.897,6.348,5.249
0.886,0.173,0.347,4.333,4.700,5.310
0.886,0.173,0.347,0.061,0.977,5.310
0.883,0.186,0.358,-0.427,-0.122,4.944
0.880,0.180,0.355,0.244,-0.244,4.211
0.870,0.169,0.360,1.343,-0.549,4.028
0.852,0.180,0.372,2.686,0.061,5.493
0.854,0.198,0.384,3.479,1.099,5.859
0.864,0.212,0.378,5.676,2.625,3.235
0.874,0.203,0.368,4.700,3.052,1.465
0.887,0.189,0.355,2.075,2.502,0.671
0.896,0.164,0.357,-3.601,-2.075,1.160
0.900,0.154,0.362,-4.150,-3.540,1.404
0.905,0.134,0.372,-2.808,-3.845,1.465
0.901,0.142,0.379,-1.221,-3.601,2.014
0.893,0.156,0.385,0.305,-2.686,2.502
0.875,0.184,0.385,2.930,0.305,1.770
