aX,aY,aZ,gX,gY,gZ
1.661,0.663,0.561,-115.601,28.015,-0.671
1.742,1.025,0.550,-143.433,13.916,4.944
1.607,1.831,0.717,-177.612,-32.776,15.381
1.336,2.168,0.900,-158.569,-56.335,22.949
0.911,2.330,1.107,-110.718,-65.369,29.175
-0.067,2.202,1.330,25.574,-5.066,12.451
-0.529,1.901,1.159,86.975,66.711,-16.846
-0.835,1.021,0.287,121.948,208.618,-106.323
-0.713,0.590,-0.273,100.098,255.066,-161.560
-0.428,0.261,-0.675,4.028,236.816,-262.878
-0.229,-0.119,-0.906,-31.921,174.622,-288.879
-0.435,-0.437,-0.722,10.254,67.566,-248.413
-1.121,-1.023,-0.688,82.703,70.374,-197.571
-1.355,-1.950,-0.984,169.617,110.413,-153.076
-1.163,-4.000,-1.698,242.493,206.238,-153.259
-0.820,-4.000,-1.928,183.167,201.477,-171.875
-0.399,-3.881,-1.620,19.958,116.699,-159.241
-0.246,-3.567,-1.319,11.841,81.421,-134.827
-0.084,-3.036,-1.094,67.017,45.105,-73.425
-0.008,-2.635,-0.992,52.673,29.724,-42.908
-0.141,-2.074,-0.813,-9.155,-7.019,-1.648
-0.253,-0.856,-0.497,-1.648,-10.742,9.705
-0.050,-0.206,-0.474,36.987,8.911,10.437
0.026,-0.118,-0.524,50.903,23.193,3.845
0.073,-0.124,-0.643,45.654,46.082,-14.832
0.177,-0.214,-0.887,38.757,46.204,-26.550
0.267,-0.454,-0.948,31.189,29.419,-43.396
0.284,-0.657,-0.970,27.466,18.433,-47.058
0.277,-0.848,-0.869,10.986,8.667,-41.870
0.265,-0.852,-0.760,5.371,2.197,-36.194
0.230,-0.845,-0.552,7.080,-14.954,-26.611
0.136,-0.829,-0.464,7.751,-18.005,-23.437
0.091,-0.755,-0.338,6.592,-15.137,-23.376
0.098,-0.756,-0.306,8.484,-6.409,-31.860
0.132,-0.815,-0.318,10.315,-2.686,-35.522
0.196,-0.860,-0.397,11.047,6.348,-37.048
0.219,-0.918,-0.443,14.282,10.376,-36.316
0.303,-1.057,-0.556,13.855,15.747,-33.386
0.334,-1.094,-0.591,9.033,15.808,-30.518
0.388,-1.108,-0.616,-0.610,8.240,-25.330
0.383,-1.089,-0.593,-5.737,-3.784,-19.470
0.375,-1.080,-0.538,-7.812,-9.216,-16.602
0.330,-1.051,-0.457,-11.292,-16.785,-11.841
0.309,-1.012,-0.434,-12.756,-16.541,-6.287
0.292,-0.943,-0.416,-7.874,-10.376,-4.028
